Address of the Book Box,Latitude,Longitude,Title of the Book,Name of the First Author or Publisher,Book URL,Image Link
Guldensporenlaan 47,50.883296,4.7389162,Avonturen in dierenwonderland,Hetty van Vugt,https://www.bol.com/be/nl/p/avonturen-in-dierenwonderland/1001004001513380/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,1-Minuutverhaaltjes Voor Jonge Lezers,Hetty van Vugt,https://www.bol.com/be/nl/p/1-minuutverhaaltjes-voor-jonge-lezers/1001004000061630/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Berckmans' Biotoop Deel 1: Alles wel in Kromsky's hel,Jean-Marie Henri Berckmans,No link found,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Menselijke anatomie,Benjamin A. Rifkin,https://www.bol.com/be/nl/p/human-anatomy/1001004010909317/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Speelfilm Encyclopedie,Carlos Aguilar,No link found,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Book Design 2,B. Martin Pedersen,https://www.bol.com/be/nl/p/t-shirt-design-2/1001004001202353/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Koken Met Kip,J. Ferguson,https://www.bol.com/be/nl/p/koken-met-kip/1001004001530617/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Het Grote Boek Met Vis & Zeevruchten,Jody Vassallo,No link found,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Smossen Mag,Roger van Damme,https://www.bol.com/be/nl/p/boek-njam-smossen-mag/9200000010704113/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Alarm op Spitsbergen,Dixie Dansercoer,No link found,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,A Game of Thrones,George R.R. Martin,https://www.bol.com/be/nl/p/a-song-of-ice-and-fire-george-r-r-martin-s-a-game-of-thrones-5-book-boxed-set/9200000017835424/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,De kunst om in koor te huilen,Erling Jepsen,https://www.bol.com/be/nl/p/de-kunst-om-in-koor-te-huilen/1001004006539287/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,All My Sons,Arthur Miller,https://www.bol.com/be/nl/p/all-my-sons/1001004005040855/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Als Moeder,Colum McCann,https://www.bol.com/be/nl/p/als-moeder/9300000152015753/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Kroatisch,Wat & Hoe,https://www.bol.com/be/nl/p/wat-hoe-taalgids-kroatisch/9300000129969157/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Tsjechisch,Wat & Hoe,https://www.bol.com/be/nl/p/wat-hoe-taalgids-tsjechisch/9300000129969195/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Stadslucht Maakt Vrij,Sven Gatz,https://www.bol.com/be/nl/p/vitale-steden/9200000049016423/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Tanja en Douwe verliefd,Nanda Roep,https://www.bol.com/be/nl/p/tanja-en-douwe-verliefd/9200000059921567/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Operatie mammoet,Gert Boullart,No link found,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Reiziger van lichte zeden,Jef Rademakers,https://www.bol.com/be/nl/p/reiziger-van-lichte-zeden/1001004001634824/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Music of the Heart,Roberta Guaspari-Tzavaras,https://www.bol.com/be/nl/p/music-of-the-heart/1001004001280016/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Tylers Oorlog,Gavin Lyall,https://www.bol.com/be/nl/p/tylers-oorlog/1001004005100491/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Zes onder zeil,Mieke Vanpol,No link found,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Over Agressie,Konrad Lorenz,https://www.bol.com/be/nl/p/agressie-bij-dier-en-mens/1001004001514969/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Fahrenheit 451,Ray Bradbury,https://www.bol.com/be/nl/p/fahrenheit-451/1001004001207520/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Broedermoord,Tim Heald,https://www.bol.com/be/nl/p/princess-margaret/1001004005996469/,img/Guldensporenlaan 47.jpg
Guldensporenlaan 47,50.883296,4.7389162,Daar ligt een hond begraven,Tim Heald,No link found,img/Guldensporenlaan 47.jpg
Schoolstraat 2,50.875684,4.7272217,"Rotstuinen: idee?n, mogelijkheden, constructies",Wiert Nieuman,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,"40x Vis: Gemakkelijk en gezond, verrassend gevarieerd",Roularta Media Group,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Noten leer Boek,Luc de Smet,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Waterdieren. Kinderen Ontdekken.,C. Berry,https://www.bol.com/be/nl/p/waterdieren-kinderen-ontdekken/666808162/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,De School Van Schellebelle,Gertie Evemhuis,https://www.bol.com/be/nl/p/de-school-van-schellebelle/9200000048367541/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Comment d¨¦jouer les pi¨¨ges de l'information: Ou les r¨¨gles d'or de la z¨¦t¨¦tique,Henri Broch,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Mijn hart is niet hier,Jeanne van de Putte,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,De ruk aan de tralies,Jeanne van de Putte,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217, Zoo hard en zoo schoon,Jeanne van de Putte,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Moord en sc¨¨ne,Ellery Queen,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Uit het juiste hout,Billie Douglas,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Amour et honneur,Richard de Boeck,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Madame Orpha,Marie Gevers,https://www.bol.com/be/nl/p/madame-orpha/9300000173196335/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,The Ambassadors Women,Catherine Gaskin,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Het verleden herleeft,Hedwig Courths-Mahler,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Maja's huwelijk,Hedwig Courths-Mahler,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Het circus,Lucee-Andree Lagarde,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Mechanika teoretyczna,Rubinowicz Wojciech,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Emily's Runaway Imagination ,Beverly Cleary,https://www.bol.com/be/nl/p/emily-s-runaway-imagination/1001004000806826/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Toch een vader,Michelle Magorian,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Tot Stof Vergaan,Tami Hoag,https://www.bol.com/be/nl/p/tot-stof-vergaan-tami-hoag/1001004002092257/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Gehugen van steen,Kirstin Vanlierde,https://www.bol.com/be/nl/p/geheugen-van-steen/1001004002620707/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Wielen,Arthur Hailey,https://www.bol.com/be/nl/p/wielen/9300000139835982/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Tan Lines,J.J Salem,https://www.bol.com/be/nl/p/tan-lines/9200000020062652/,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,The Laughing Policeman,Maj Sj?wall,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Une chandelle dans les tenebres,Henri Broch,No link found,img/Schoolstraat 2.jpg
Schoolstraat 2,50.875684,4.7272217,Blitz,Robert Westall,https://www.bol.com/be/nl/p/blitz/1001004001062851/,img/Schoolstraat 2.jpg
Elfnovemberlaan 49,50.885737,4.7260617,El Vendedor mas Grande del Mundo/Segunda Parte,OG Mandino,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Chinese Handwassing,Anton Roothaert,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Englische Kurzzgeschichten /English Short Stories,Aldous Huxley,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Argentinische Kurzgeschichten / Narradores Argentinos,Antonio Di Bendetto,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Cakes and Ale,William Somerset Maugham,https://www.bol.com/be/nl/p/great/9300000080684782/,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Het Beste Boek 101,James Houston,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,The French Lieutenants Woman,John Fowles,https://www.bol.com/be/nl/p/the-french-lieutenant-s-woman/9200000000761626/,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Der Hahn ist Tot,Ingrid Noll,https://www.bol.com/be/nl/p/der-hahn-ist-tot-grossdruck/1001004008775604/,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,De Open Plek: Over Franstalige Literatuur Uit de Antillen,Maryse Cond¨¦ ,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Het Beste Boek 86,Ira Avery,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Het Beste Boek 119,Lilian Beckwith,No link found,img/Elfnovemberlaan 49.jpg
Elfnovemberlaan 49,50.885737,4.7260617,Een tafel voor vijf!,Riet Wille,https://www.bol.com/be/nl/p/een-huis-met-een-naam/666830852/,img/Elfnovemberlaan 49.jpg
Patroonschapstraat 7,50.884924,4.7237778,"Adieu, An Claude",Utta Danella,https://www.bol.com/be/nl/p/adieu-jean-claude/9200000049530358/,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,In vrije val,JoAnn Kelley Smith,No link found,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Zoete Wraak,Jacke Collins,https://www.bol.com/be/nl/p/zilver-pockets-zoete-wraak/1001004007508159/,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,G?ttinnen und Priesterinnen,Regina Sommer,No link found,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,500 years of Reformation: tensions between mission and culture (2017),Sabine Dievenkorn,No link found,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Mindhunter,John Douglas,https://www.bol.com/be/nl/p/mindhunter/9200000081572919/,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Feminist Theology and Visual Arts (2011),Annette Esser,No link found,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,"Feminist Theology: Listening, Understanding and Responding in a Secular and Plural World",Uta Blohm,No link found,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Nienke van de Zandhoe,Willy van Roode,https://www.bol.com/be/nl/p/nienke-van-de-zandhoeve/1001004005106072/,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Zestic Spiegels,Harm de Jonge,https://www.bol.com/be/nl/p/zestig-spiegels-kinderboekenweekgeschenk-2014/9200000032084735/,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Kochaj wystarczaj?co dobrze,Jucewicz Agnieszka,No link found,img/Patroonschapstraat 7.jpg
Patroonschapstraat 7,50.884924,4.7237778,Het nieuw medisch gezindsboek,Gerhard Venzmer,https://www.bol.com/be/nl/p/het-nieuw-medisch-gezindsboek-dr-gerhard-venzmer/9200000049523989/,img/Patroonschapstraat 7.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Paper Towns,John Green,https://www.bol.com/be/nl/p/paper-towns/9200000018043619/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Midnight Thief,Livia Blackburne,https://www.bol.com/be/nl/p/midnight-thief/9200000037399188/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Rebel Belle,Rachel Hawkins,https://www.bol.com/be/nl/p/lady-renegades/9200000062413353/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Ik Overleefde voor Mijn Kind,Clara Rojas,https://www.bol.com/be/nl/p/ik-overleefde-voor-mijn-kind/1001004008570336/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Peru Handbook,Alan Murphy,https://www.bol.com/be/nl/p/peru-handbook/9200000070127562/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Suriname in het hart,Diederik Samwel,https://www.bol.com/be/nl/p/suriname-in-het-hart/1001004010968608/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Twilight,Stephenie Meyer,https://www.bol.com/be/nl/p/twilight-midnight-sun/9300000002415414/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Monsoon,Wilbur Smith,https://www.bol.com/be/nl/p/monsoon/9200000090077539/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Star Trek: Myriad Universes,David R. George III,https://www.bol.com/be/nl/p/star-trek-the-next-generation-3-star-trek-myriad-universes-3-shattered-light/9200000017871551/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Cress,Marissa Meyer,https://www.bol.com/be/nl/p/the-lunar-chronicles-boxed-set/9200000132739212/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Rage,Wilbur Smith,https://www.bol.com/be/nl/p/rage/9200000090078959/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Cry Wolf,Wilbur Smith,https://www.bol.com/be/nl/p/sound-of-thunder-cry-wolf-duo/1001004006077435/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,The Icarus Agenda,Robert Ludlum,https://www.bol.com/be/nl/p/the-icarus-agenda/1001004000968283/,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Niemand komt aan mijn kinderen,Donya Al-Hahi,No link found,img/Leopold Ruelensstraat 26.jpg
Leopold Ruelensstraat 26,50.890673,4.7262615,Bikkel,Rudie Kagie,https://www.bol.com/be/nl/p/bikkel/9200000010155753/,img/Leopold Ruelensstraat 26.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Introduction to Social Work,O. William Farley,https://www.bol.com/be/nl/p/introduction-to-social-work/1001004011422524/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,De hartstocht en het verlangen,Rosemary Rogers,https://www.bol.com/be/nl/p/hartstocht-en-het-verlangen/1001004005096212/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,The Desire of Ages,Ellen G. White,https://www.bol.com/be/nl/p/ellen-g-white-books-on-salvation-christ-in-his-sanctuary/9300000049966386/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,The Long Arm of Gil Hamilton,Larry Niven,https://www.bol.com/be/nl/p/the-long-arm-of-gil-hamilton/1001004006109781/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,May day : young literature from the ten new member states of the European Union.,European Commission,No link found,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Het Beste Boek 208,Maeve Binchy,No link found,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Gevierendeeld,Daisy ver Boven,https://www.bol.com/be/nl/p/gevierendeeld/1001004005090059/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,GVB Regelexamen,Nederlandse Golf Federatie,https://www.bol.com/be/nl/p/golfregels/9300000138967603/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Alleen maar voetbal,Kirsten Boie,https://www.bol.com/be/nl/p/lena-wil-alleen-maar-voetbal/1001004001573469/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Mijn mama is een cowboy,Boonen Stefan,https://www.bol.com/be/nl/p/mijn-mama-is-een-cowboy-boonen-stefan/9300000017409223/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Brandpost 5,Jack Olsen,https://www.bol.com/be/nl/p/brandpost-5/1001004005086200/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Shimmer & Shine: Omnibus met 3 verhalen!,Big Balloon,https://www.bol.com/be/nl/p/shimmer-shine-omnibus/9200000082256543/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Buitenspel,Vivian den Hollander,https://www.bol.com/be/nl/p/buitenspel/9200000048381159/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Aan tafel in Frankrijk,Georgeanne Brennan,https://www.bol.com/be/nl/p/de-smaak-van-de-provence/1001004005448947/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,De Heggenrijder,Jan de Zutter,https://www.bol.com/be/nl/p/de-heggenrijder/1001004001807671/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Het Bezoek,Adrian Plass,https://www.bol.com/be/nl/p/het-bezoek/666806844/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Brieven aan Miriam,Lutgard Van Heuckelom,https://www.bol.com/be/nl/p/brieven-aan-miriam/1001004001521215/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,A New Man: Missionary Journeys of an African American,Hoise Birks,No link found,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Literatuur en radio,Birgit van Puymbroeck,No link found,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Eekhoorns sneeuwpop,Julia Donaldson,https://www.bol.com/be/nl/p/eekhoorns-sneeuwpop/9300000042356529/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Kronkels,Inge Misschaert,https://www.bol.com/be/nl/p/verzameld/9300000153390325/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Jeugdpsychologie: Hebben onze jongens en meisjes vertouwen in vader en moeder,J. Vlerick,No link found,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,De Enige Weg,Ellen G. White,https://www.bol.com/be/nl/p/de-enige-weg-ellen-g-white/9200000084900556/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,"Kijk, mijn Bijbel!",Bethan James,https://www.bol.com/be/nl/p/kijk-mijn-bijbel/9200000001045770/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Act of Will,Barbara Taylor Bradford,https://www.bol.com/be/nl/p/act-of-will/9200000015442322/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,38 Basic Joseki,Kiyoshi Kosugi,https://www.bol.com/be/nl/p/elementary-go-38-basic-josekis/1001004000775935/,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,Glimwormen een kortverhaal,Marjolijn van Heemstra,No link found,img/Albrecht Rodenbachstraat 55.jpg
Albrecht Rodenbachstraat 55,50.890636,4.7240621,In the Blink of an Eye: A Perspective on Film Editing,Walter Murch,https://www.bol.com/be/nl/p/in-the-blink-of-an-eye-a-perspective-on-film-editing-2nd-edition/9300000165638748/,img/Albrecht Rodenbachstraat 55.jpg
Gemeenteplein 33,50.890501,4.7295043,The Janson Directive,Robert Ludlum,https://www.bol.com/be/nl/p/janson-directive/1001004007155400/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Others,James Herbert,https://www.bol.com/be/nl/p/stars/1001004000795259/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,"Cry, The Beloved Country",Alan Paton,https://www.bol.com/be/nl/p/cry-the-beloved-country/1001004001648872/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Green River Rising,Tim Willocks,https://www.bol.com/be/nl/p/green-river-rising/1001004001090513/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,More Twisted,Jeffert Deaver,https://www.bol.com/be/nl/p/more-twisted/9200000060301915/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,The Geography of Bliss,Eric Weiner,https://www.bol.com/be/nl/p/the-geography-of-bliss/9200000070676298/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,De Standaard stijlboek : een hulpkit van de De Standaard,Astrid Houthuys,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,L'Univers de Th¨¦odore Rousseau,Antoine Terrasse,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,L'Univers de Jongkind,Victorine Hefting,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,L'Univers de Millet,Jean-Jacques L¨¦vaque ,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Polynesie et Micronesie,Gis¨¨le Toulouzan,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Monet,Daniel Wildenstein,https://www.bol.com/be/nl/p/monet-the-triumph-of-impressionism/9200000021964885/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Turner,Robin Hamlyn,https://www.bol.com/be/nl/p/turner/9200000048196521/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Monet,Yvon Taillandier,https://www.bol.com/be/nl/p/monet/9200000069568240/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Vergangenheit in der Gegenwart,P¨¦ter Korniss,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Manet,John Richardson,https://www.bol.com/be/nl/p/manet/1001004001203001/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Impressionism ,Ren¨¦ Huyghe,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Gesellschaftsrecht,Christine Windbichler,https://www.bol.com/be/nl/p/gesellschaftsrecht/1001004008972516/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Neue Dekorputze und Effektfarben f¨¹r kreative Wandgestaltung,Hans W. Bastian,No link found,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Treasure of Khan,Clive Cussler,https://www.bol.com/be/nl/p/treasure-of-khan/1001004011616546/,img/Gemeenteplein 33.jpg
Gemeenteplein 33,50.890501,4.7295043,Het monster uit de diepte,Patrick Lagrou,https://www.bol.com/be/nl/p/dolfijnenkind-2-het-monster-uit-de-diepte/1001004005487649/,img/Gemeenteplein 33.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Liefdesbrief in viervoud,Elizabeth Cadell,No link found,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Het verhaal van de griezel en de raadselachtige verdwijningen,Rien Broere,https://www.bol.com/be/nl/p/het-verhaal-van-de-griezel-en-de-raadselachtige-verdwijningen/9300000052581939/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Groetjes uit Andromeda,Patrick Bernauw,https://www.bol.com/be/nl/p/groetjes-uit-andromeda/666764950/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,De gesluierde vrouw,Hedwig Courths-Mahler,No link found,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Spaans avontuur,Manfred Conte,No link found,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Satan's World,Poul Anderson,https://www.bol.com/be/nl/p/satan-s-world/9200000029911464/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Banco,Henri Charri¨¨re,No link found,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Santorini,Alistair MacLean,https://www.bol.com/be/nl/p/zr-ms-ulysses-santorini/1001004001510653/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Operatie Vanessa,Paul Kustermans,https://www.bol.com/be/nl/p/operatie-vanessa-kustermans/1001004005103496/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,De gekwelde man,Henning Manell,https://www.bol.com/be/nl/p/inspecteur-wallander-reeks-10-de-gekwelde-man/1001004011794924/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Caro,Gaea Schoeters,https://www.bol.com/be/nl/p/trofee/9300000005582506/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Romance op woeste grond,Isobel Chace,No link found,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,De Moordenaar Leeft Nog,Rudolf Anderl,No link found,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Een volmaakte spion,John le Carr¨¦,https://www.bol.com/be/nl/p/een-volmaakte-spion/1001004005135914/,img/Holsbeeksesteenweg 82.jpg
Holsbeeksesteenweg 82,50.896913,4.7315696,Snacks en slaatjes,Carol Bowen,No link found,img/Holsbeeksesteenweg 82.jpg
